Acquired on 3/15/2018 at 20:11:14
Calibrated on 5/6/2016 at 10:33:04
Device Descriptor:  [none]
Scan Range (nm):  1540.255  --  1561.184
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100299
Frequency domain window was not applied to measurement data.
Gage length:  0.398307 cm
Sensor spacing:  0.398307 cm
Strain coefficients
	0.000000
	-6.668000
	0.000000
	0.000000
	0.000000
Number of Data Points (in this file):  100
NOTE: Data stored in this file is not decimated.

Length (mm)	Strain (microstrain)	
1.61254590E+004	1.27927732E+001	
1.61294424E+004	8.49947929E+000	
1.61334258E+004	2.97243252E+001	
1.61374082E+004	4.30988693E+000	
1.61413916E+004	-4.25803566E+000	
1.61453750E+004	-1.69885883E+001	
1.61493574E+004	1.27284784E+001	
1.61533408E+004	2.55461388E+001	
1.61573242E+004	2.97284737E+001	
1.61613066E+004	-1.27927732E+001	
1.61652900E+004	-1.27139597E+001	
1.61692734E+004	2.12881050E+001	
1.61732559E+004	-4.29122019E+000	
1.61772393E+004	-7.90028442E+002	
1.61812227E+004	-2.96755848E+001	
1.61852051E+004	-3.82642479E+001	
1.61891885E+004	-3.82123985E+001	
1.61931719E+004	-6.37357178E+001	
1.61971543E+004	-6.38166084E+001	
1.62011377E+004	-3.39916954E+001	
1.62051211E+004	-1.27160330E+001	
1.62091035E+004	4.67346878E+001	
1.62130869E+004	4.24082108E+001	
1.62170703E+004	2.97813625E+001	
1.62210527E+004	1.27264032E+001	
1.62250361E+004	4.29744291E+000	
1.62290195E+004	-2.97232876E+001	
1.62330020E+004	4.22899914E+000	
1.62369854E+004	-2.96735096E+001	
1.62409688E+004	4.67606163E+001	
1.62449512E+004	4.25046539E+001	
1.62489346E+004	-2.54839191E+001	
1.62529180E+004	-9.34133835E+001	
1.62569004E+004	-8.92320862E+001	
1.62608838E+004	-6.37191277E+001	
1.62648662E+004	-4.97773290E-002	
1.62688496E+004	1.35928406E+002	
1.62728330E+004	1.57142868E+002	
1.62768154E+004	1.52924255E+002	
1.62807988E+004	1.31672440E+002	
1.62847822E+004	1.31678665E+002	
1.62887646E+004	1.27464188E+002	
1.62927480E+004	1.31619553E+002	
1.62967314E+004	1.18851669E+002	
1.63007139E+004	1.57151184E+002	
1.63046973E+004	1.78345947E+002	
1.63086807E+004	2.50616394E+002	
1.63126631E+004	3.27055725E+002	
1.63166465E+004	2.54765564E+002	
1.63206299E+004	1.82739838E+002	
1.63246123E+004	1.27378113E+002	
1.63285957E+004	9.34227142E+001	
1.63325791E+004	1.14670380E+002	
1.63365615E+004	1.31699402E+002	
1.63405449E+004	1.06232079E+002	
1.63445283E+004	1.18853737E+002	
1.63485107E+004	1.06222748E+002	
1.63524941E+004	8.49045639E+001	
1.63564775E+004	5.94434662E+001	
1.63604600E+004	-1.78372910E+002	
1.63644434E+004	-1.27415443E+002	
1.63684268E+004	-1.69933578E+002	
1.63724092E+004	-1.18866188E+002	
1.63763926E+004	-9.76859360E+001	
1.63803760E+004	-4.66309891E+001	
1.63843594E+004	-2.98103981E+001	
1.63883418E+004	-1.69159966E+001	
1.63923242E+004	5.39254397E-002	
1.63963086E+004	4.30988693E+000	
1.64002910E+004	1.26932192E+001	
1.64042734E+004	-2.11719570E+001	
1.64082578E+004	-1.69325886E+001	
1.64122402E+004	1.26994410E+001	
1.64162227E+004	1.27367744E+001	
1.64202070E+004	4.31196117E+000	
1.64241895E+004	-1.27907000E+001	
1.64281719E+004	4.18544388E+000	
1.64321563E+004	8.45592403E+000	
1.64361387E+004	8.52644157E+000	
1.64401211E+004	8.49118328E+000	
1.64441055E+004	1.27824030E+001	
1.64480879E+004	1.26475897E+001	
1.64520703E+004	-8.50362682E+000	
1.64560547E+004	1.69719963E+001	
1.64600371E+004	1.70591068E+001	
1.64640195E+004	2.12559566E+001	
1.64680039E+004	1.69968834E+001	
1.64719863E+004	1.27450705E+001	
1.64759688E+004	2.12300301E+001	
1.64799531E+004	-4.21033239E+000	
1.64839355E+004	2.55492516E+001	
1.64879180E+004	4.23936892E+000	
1.64919023E+004	1.69574757E+001	
1.64958848E+004	1.69388103E+001	
1.64998672E+004	4.33477592E+000	
1.65038516E+004	2.12694378E+001	
1.65078340E+004	4.14811075E-002	
1.65118164E+004	2.55067329E+001	
1.65158008E+004	-7.25919381E-002	
1.65197832E+004	2.11781807E+001	
