Acquired on 3/15/2018 at 20:10:52
Calibrated on 5/6/2016 at 10:33:04
Device Descriptor:  [none]
Scan Range (nm):  1540.255  --  1561.184
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100299
Frequency domain window was not applied to measurement data.
Gage length:  0.398307 cm
Sensor spacing:  0.398307 cm
Strain coefficients
	0.000000
	-6.668000
	0.000000
	0.000000
	0.000000
Number of Data Points (in this file):  100
NOTE: Data stored in this file is not decimated.

Length (mm)	Strain (microstrain)	
1.61801123E+004	8.59695911E+000	
1.61840947E+004	2.07405537E-003	
1.61880781E+004	4.18959188E+000	
1.61920615E+004	-4.28292465E+000	
1.61960439E+004	5.59994951E-002	
1.62000273E+004	1.69616261E+001	
1.62040107E+004	1.53480098E-001	
1.62079932E+004	2.54507332E+001	
1.62119766E+004	-1.28176622E+001	
1.62159600E+004	2.55316219E+001	
1.62199424E+004	1.70362911E+001	
1.62239258E+004	8.55340481E+000	
1.62279092E+004	8.53888607E+000	
1.62318916E+004	1.70445862E+001	
1.62358750E+004	1.69719963E+001	
1.62398584E+004	2.54559174E+001	
1.62438408E+004	8.48910904E+000	
1.62478242E+004	5.09636879E+001	
1.62518076E+004	4.24517670E+001	
1.62557900E+004	-8.91843811E-002	
1.62597734E+004	2.55347328E+001	
1.62637568E+004	-1.27533665E+001	
1.62677393E+004	-1.27264032E+001	
1.62717227E+004	-3.39730263E+001	
1.62757061E+004	-2.97398796E+001	
1.62796885E+004	-2.54092522E+001	
1.62836719E+004	-4.24082108E+001	
1.62876553E+004	-3.40331764E+001	
1.62916377E+004	-3.39605827E+001	
1.62956211E+004	-2.97315826E+001	
1.62996045E+004	-1.63532019E+003	
1.63035869E+004	-1.26911449E+001	
1.63075703E+004	-3.40248795E+001	
1.63115537E+004	-5.22444153E+002	
1.63155361E+004	5.09948006E+001	
1.63195195E+004	-1.27989960E+001	
1.63235029E+004	1.69429588E+001	
1.63274854E+004	-4.27877665E+000	
1.63314688E+004	9.77408981E+001	
1.63354521E+004	6.80321274E+001	
1.63394346E+004	-4.66620979E+001	
1.63434180E+004	1.24454419E+003	
1.63474014E+004	-1.74156357E+002	
1.63513838E+004	-1.52897278E+002	
1.63553672E+004	-3.81999550E+001	
1.63593506E+004	8.49149399E+001	
1.63633330E+004	1.06165710E+002	
1.63673164E+004	1.52928406E+002	
1.63712998E+004	1.31696304E+002	
1.63752822E+004	9.35077515E+001	
1.63792656E+004	1.52886917E+002	
1.63832490E+004	9.77616425E+001	
1.63872324E+004	1.18997887E+002	
1.63912148E+004	1.31614365E+002	
1.63951973E+004	1.99597763E+002	
1.63991816E+004	2.42163605E+002	
1.64031641E+004	6.37155029E+002	
1.64071465E+004	3.18589447E+002	
1.64111309E+004	2.03890015E+002	
1.64151133E+004	1.40156372E+002	
1.64190957E+004	8.50165710E+001	
1.64230801E+004	1.14656898E+002	
1.64270625E+004	1.31595703E+002	
1.64310449E+004	1.06128380E+002	
1.64350293E+004	1.35961594E+002	
1.64390117E+004	1.27432037E+002	
1.64429941E+004	9.34320450E+001	
1.64469785E+004	8.06486053E+001	
1.64509609E+004	-1.99652725E+002	
1.64549434E+004	-1.69910767E+002	
1.64589277E+004	-1.48747101E+002	
1.64629102E+004	-1.10468338E+002	
1.64668926E+004	-8.49906464E+001	
1.64708770E+004	-6.79937592E+001	
1.64748594E+004	-2.54341412E+001	
1.64788418E+004	4.35551628E-002	
1.64828262E+004	8.29622149E-002	
1.64868086E+004	7.88141042E-002	
1.64907910E+004	-1.28052187E+001	
1.64947754E+004	-8.49118328E+000	
1.64987578E+004	-3.39626541E+001	
1.65027402E+004	-1.69263668E+001	
1.65067246E+004	6.15915137E+003	
1.65107070E+004	-1.69636993E+001	
1.65146895E+004	4.66776543E+001	
1.65186738E+004	-4.17507362E+000	
1.65226563E+004	0.00000000E+000	
1.65266387E+004	8.06880112E+001	
1.65306230E+004	4.67543945E+001	
1.65346055E+004	4.19374037E+000	
1.65385879E+004	1.26517382E+001	
1.65425723E+004	1.70694752E+001	
1.65465547E+004	1.86664984E-002	
1.65505371E+004	5.51823158E+001	
1.65545215E+004	2.97263985E+001	
1.65585039E+004	8.49740505E+000	
1.65624863E+004	2.97658043E+001	
1.65664707E+004	1.33801355E+003	
1.65704531E+004	-8.60525608E+000	
1.65744355E+004	6.79325714E+001	
