Acquired on 3/15/2018 at 11:50:13
Calibrated on 5/6/2016 at 10:33:04
Device Descriptor:  [none]
Scan Range (nm):  1540.255  --  1561.184
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100299
Frequency domain window was not applied to measurement data.
Gage length:  0.398307 cm
Sensor spacing:  0.398307 cm
Strain coefficients
	0.000000
	-6.668000
	0.000000
	0.000000
	0.000000
Number of Data Points (in this file):  100
NOTE: Data stored in this file is not decimated.

Length (mm)	Strain (microstrain)	
1.59432715E+004	4.39284897E+000	
1.59472549E+004	1.43109813E-001	
1.59512383E+004	8.49533081E+000	
1.59552207E+004	-8.47251701E+000	
1.59592041E+004	-4.23729515E+000	
1.59631875E+004	-8.59073734E+000	
1.59671699E+004	8.08881596E-002	
1.59711533E+004	6.22216612E-002	
1.59751367E+004	-1.26496639E+001	
1.59791191E+004	8.29622149E-002	
1.59831025E+004	-4.28085041E+000	
1.59870859E+004	-3.73329967E-002	
1.59910684E+004	-8.59695911E+000	
1.59950518E+004	-2.34368250E-001	
1.59990352E+004	1.27015152E+001	
1.60030176E+004	-4.33892393E+000	
1.60070010E+004	8.49947929E+000	
1.60109844E+004	8.46629429E+000	
1.60149668E+004	2.54631786E+001	
1.60189502E+004	2.54974003E+001	
1.60229336E+004	2.97595825E+001	
1.60269160E+004	4.24445076E+001	
1.60308994E+004	3.82248383E+001	
1.60348828E+004	2.97502499E+001	
1.60388652E+004	8.53681183E+000	
1.60428486E+004	-4.14811075E-002	
1.60468320E+004	2.98218060E+001	
1.60508145E+004	1.18907661E+002	
1.60547979E+004	9.33553085E+001	
1.60587813E+004	1.27243299E+001	
1.60627637E+004	-3.82186165E+001	
1.60667471E+004	-9.76921616E+001	
1.60707305E+004	-9.35067139E+001	
1.60747129E+004	-1.28384027E+001	
1.60786963E+004	3.65277435E+002	
1.60826797E+004	5.14023499E+002	
1.60866621E+004	5.13949890E+002	
1.60906455E+004	5.35195496E+002	
1.60946289E+004	5.47966492E+002	
1.60986113E+004	5.30855530E+002	
1.61025947E+004	5.64975830E+002	
1.61065781E+004	5.98985168E+002	
1.61105605E+004	7.47606750E+002	
1.61145439E+004	8.53754822E+002	
1.61185273E+004	1.08310803E+003	
1.61225098E+004	1.24884167E+003	
1.61264932E+004	1.17666345E+003	
1.61304766E+004	9.30154663E+002	
1.61344590E+004	7.73064758E+002	
1.61384424E+004	6.83946777E+002	
1.61424258E+004	6.07401672E+002	
1.61464082E+004	5.73342529E+002	
1.61503916E+004	5.43708435E+002	
1.61543750E+004	5.26625488E+002	
1.61583574E+004	4.96956116E+002	
1.61623408E+004	3.86522003E+002	
1.61663242E+004	1.82610214E+002	
1.61703066E+004	-1.10393669E+002	
1.61742900E+004	-1.18994781E+002	
1.61782734E+004	-1.14601929E+002	
1.61822559E+004	-8.91657181E+001	
1.61862393E+004	-4.66703949E+001	
1.61902227E+004	3.27700734E-001	
1.61942051E+004	5.52849846E+001	
1.61981885E+004	8.50414505E+001	
1.62021719E+004	7.64973831E+001	
1.62061543E+004	5.94590225E+001	
1.62101377E+004	3.82352104E+001	
1.62141211E+004	2.12891407E+001	
1.62181035E+004	2.96890659E+001	
1.62220869E+004	4.24237671E+001	
1.62260703E+004	4.67129135E+001	
1.62300527E+004	8.58451557E+000	
1.62340361E+004	2.54725113E+001	
1.62380195E+004	3.39232521E+001	
1.62420020E+004	4.36173868E+000	
1.62459854E+004	8.58036709E+000	
1.62499688E+004	4.35136843E+000	
1.62539512E+004	4.38040495E+000	
1.62579346E+004	2.40590438E-001	
1.62619180E+004	6.42957166E-002	
1.62659004E+004	3.52589414E-002	
1.62698838E+004	4.28914642E+000	
1.62738672E+004	3.48441303E-001	
1.62778496E+004	2.96589911E-001	
1.62818330E+004	-2.48886645E-001	
1.62858164E+004	4.37003469E+000	
1.62897988E+004	3.25626701E-001	
1.62937822E+004	2.48886645E-001	
1.62977656E+004	2.63405025E-001	
1.63017480E+004	3.38071018E-001	
1.63057314E+004	1.53480098E-001	
1.63097148E+004	8.66540337E+000	
1.63136973E+004	-1.38961717E-001	
1.63176807E+004	-2.15701759E-001	
1.63216641E+004	2.13627696E-001	
1.63256465E+004	-4.62306929E+000	
1.63296299E+004	-4.44262648E+000	
1.63336123E+004	-1.61776319E-001	
1.63375957E+004	-1.03702769E-001	
