Acquired on 3/15/2018 at 11:49:51
Calibrated on 5/6/2016 at 10:33:04
Device Descriptor:  [none]
Scan Range (nm):  1540.255  --  1561.184
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100299
Frequency domain window was not applied to measurement data.
Gage length:  0.398307 cm
Sensor spacing:  0.398307 cm
Strain coefficients
	0.000000
	-6.668000
	0.000000
	0.000000
	0.000000
Number of Data Points (in this file):  100
NOTE: Data stored in this file is not decimated.

Length (mm)	Strain (microstrain)	
1.61072285E+004	-4.28499842E+000	
1.61112119E+004	-5.80735467E-002	
1.61151943E+004	6.84438273E-002	
1.61191777E+004	8.49325657E+000	
1.61231611E+004	4.19374037E+000	
1.61271436E+004	4.20825863E+000	
1.61311270E+004	-4.17922163E+000	
1.61351104E+004	-8.45592403E+000	
1.61390928E+004	-8.54096031E+000	
1.61430762E+004	-7.05178827E-002	
1.61470596E+004	4.31610918E+000	
1.61510420E+004	-8.41444302E+000	
1.61550254E+004	-2.28146091E-002	
1.61590088E+004	8.43310928E+000	
1.61629912E+004	-1.03702769E-002	
1.61669746E+004	4.21655464E+000	
1.61709580E+004	4.35966444E+000	
1.61749404E+004	8.44347954E+000	
1.61789238E+004	-8.52229309E+000	
1.61829072E+004	-1.01628713E-001	
1.61868896E+004	-4.16470337E+000	
1.61908730E+004	4.25181341E+000	
1.61948564E+004	-4.29122019E+000	
1.61988389E+004	4.30781269E+000	
1.62028223E+004	8.54510784E+000	
1.62068057E+004	1.70549583E+001	
1.62107881E+004	2.12601051E+001	
1.62147715E+004	2.55368080E+001	
1.62187549E+004	1.70798454E+001	
1.62227373E+004	7.46659935E-002	
1.62267207E+004	4.29536867E+000	
1.62307041E+004	-8.53058910E+000	
1.62346865E+004	4.33270168E+000	
1.62386699E+004	5.09916878E+001	
1.62426533E+004	1.01877602E+002	
1.62466357E+004	3.82683945E+001	
1.62506191E+004	8.53473759E+000	
1.62546025E+004	-2.13233624E+001	
1.62585850E+004	-4.66558762E+001	
1.62625684E+004	-5.09242821E+001	
1.62665508E+004	1.95416458E+002	
1.62705342E+004	4.41823578E+002	
1.62745176E+004	4.84228668E+002	
1.62785000E+004	5.13863831E+002	
1.62824834E+004	5.09714661E+002	
1.62864668E+004	5.18210022E+002	
1.62904492E+004	5.35153992E+002	
1.62944326E+004	5.52256653E+002	
1.62984160E+004	6.37185059E+002	
1.63023984E+004	7.77289612E+002	
1.63063818E+004	9.38687378E+002	
1.63103652E+004	1.21486865E+003	
1.63143477E+004	1.35075134E+003	
1.63183311E+004	1.07471741E+003	
1.63223145E+004	8.11371521E+002	
1.63262969E+004	6.79729126E+002	
1.63302803E+004	6.24447266E+002	
1.63342637E+004	5.56455566E+002	
1.63382461E+004	5.39474243E+002	
1.63422295E+004	5.01214142E+002	
1.63462129E+004	5.14040161E+002	
1.63501953E+004	4.24817352E+002	
1.63541787E+004	2.63391541E+002	
1.63581621E+004	-3.81999550E+001	
1.63621445E+004	-1.06133560E+002	
1.63661279E+004	-1.01954338E+002	
1.63701113E+004	-1.01877602E+002	
1.63740938E+004	-5.10093193E+001	
1.63780771E+004	-1.69429588E+001	
1.63820605E+004	1.68973293E+001	
1.63860430E+004	5.09502068E+001	
1.63900273E+004	3.40134697E+001	
1.63940098E+004	3.39305115E+001	
1.63979922E+004	3.39439926E+001	
1.64019766E+004	3.39719925E+001	
1.64059590E+004	1.70777721E+001	
1.64099414E+004	3.39647331E+001	
1.64139258E+004	2.12051430E+001	
1.64179082E+004	2.54963646E+001	
1.64218906E+004	-4.22070265E+000	
1.64258750E+004	-4.22485065E+000	
1.64298574E+004	1.27326260E+001	
1.64338398E+004	2.97896576E+001	
1.64378242E+004	2.11719570E+001	
1.64418066E+004	5.39254397E-002	
1.64457891E+004	1.69014778E+001	
1.64497734E+004	8.45799828E+000	
1.64537559E+004	-4.21655464E+000	
1.64577383E+004	1.70072536E+001	
1.64617227E+004	-4.30159092E+000	
1.64657051E+004	1.27305517E+001	
1.64696875E+004	-8.55962658E+000	
1.64736719E+004	4.19788837E+000	
1.64776543E+004	1.69678459E+001	
1.64816367E+004	-8.53058910E+000	
1.64856211E+004	-4.12529659E+000	
1.64896035E+004	4.20825863E+000	
1.64935859E+004	4.32233143E+000	
1.64975703E+004	1.27616634E+001	
1.65015527E+004	-1.27118855E+001	
