Acquired on 3/15/2018 at 20:11:48
Calibrated on 5/6/2016 at 10:33:04
Device Descriptor:  [none]
Scan Range (nm):  1540.255  --  1561.184
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100299
Frequency domain window was not applied to measurement data.
Gage length:  0.398307 cm
Sensor spacing:  0.398307 cm
Strain coefficients
	0.000000
	-6.668000
	0.000000
	0.000000
	0.000000
Number of Data Points (in this file):  100
NOTE: Data stored in this file is not decimated.

Length (mm)	Strain (microstrain)	
1.59068496E+004	-6.37274284E+001	
1.59108330E+004	-3.82642479E+001	
1.59148164E+004	1.70404396E+001	
1.59187988E+004	-5.52258759E+001	
1.59227822E+004	-5.52383156E+001	
1.59267656E+004	4.29951668E+000	
1.59307480E+004	-2.12943268E+001	
1.59347314E+004	8.52229309E+000	
1.59387148E+004	8.46629429E+000	
1.59426973E+004	-8.48496056E+000	
1.59466807E+004	2.11740322E+001	
1.59506641E+004	1.86664984E-002	
1.59546465E+004	8.52021980E+000	
1.59586299E+004	4.20203638E+000	
1.59626133E+004	5.94621315E+001	
1.59665957E+004	5.52445412E+001	
1.59705791E+004	6.36631317E+001	
1.59745625E+004	5.52600937E+001	
1.59785449E+004	7.22113495E+001	
1.59825283E+004	8.06693497E+001	
1.59865117E+004	1.06240372E+002	
1.59904941E+004	6.79512405E+001	
1.59944775E+004	-1.27741070E+001	
1.59984609E+004	-3.61478833E+003	
1.60024434E+004	-2.08158417E+002	
1.60064268E+004	-2.12374969E+002	
1.60104102E+004	-5.94652405E+001	
1.60143926E+004	1.23171921E+002	
1.60183760E+004	1.78499435E+002	
1.60223594E+004	1.57216507E+002	
1.60263418E+004	1.35879669E+002	
1.60303252E+004	1.48717026E+002	
1.60343086E+004	1.69876541E+002	
1.60382910E+004	1.52912842E+002	
1.60422744E+004	1.52901443E+002	
1.60462578E+004	1.69927368E+002	
1.60502402E+004	1.86898315E+002	
1.60542236E+004	2.12419571E+002	
1.60582070E+004	1.82622650E+002	
1.60621895E+004	1.78382248E+002	
1.60661729E+004	1.78466248E+002	
1.60701563E+004	1.40196808E+002	
1.60741387E+004	1.35892105E+002	
1.60781221E+004	1.69856842E+002	
1.60821055E+004	1.52970917E+002	
1.60860879E+004	1.27444473E+002	
1.60900713E+004	4.18388330E+003	
1.60940547E+004	1.27427895E+002	
1.60980371E+004	1.40183334E+002	
1.61020205E+004	5.94670044E+002	
1.61060039E+004	-2.50583237E+002	
1.61099863E+004	-2.42067154E+002	
1.61139697E+004	-2.50610199E+002	
1.61179531E+004	-1.78439285E+002	
1.61219355E+004	-1.57223770E+002	
1.61259189E+004	-1.01912857E+002	
1.61299023E+004	-2.11491432E+001	
1.61338848E+004	1.70134754E+001	
1.61378682E+004	-1.69367371E+001	
1.61418506E+004	-1.55887244E+003	
1.61458340E+004	-2.13171406E+001	
1.61498174E+004	-2.54279194E+001	
1.61537998E+004	-1.28301067E+001	
1.61577832E+004	-3.39377708E+001	
1.61617666E+004	2.97098064E+001	
1.61657490E+004	-8.40407276E+000	
1.61697324E+004	2.12756596E+001	
1.61737158E+004	5.09180603E+001	
1.61776982E+004	4.24382858E+001	
1.61816816E+004	4.22277641E+000	
1.61856650E+004	1.24443322E-002	
1.61896475E+004	2.55316219E+001	
1.61936309E+004	-8.29622149E-003	
1.61976143E+004	-2.96735096E+001	
1.62015967E+004	-4.20618439E+000	
1.62055801E+004	4.27462816E+000	
1.62095635E+004	3.40269508E+001	
1.62135459E+004	-1.27969217E+001	
1.62175293E+004	1.27782555E+001	
1.62215127E+004	2.11989193E+001	
1.62254951E+004	2.12072163E+001	
1.62294785E+004	-4.18544388E+000	
1.62334619E+004	3.73329967E-002	
1.62374443E+004	8.54303455E+000	
1.62414277E+004	8.56170082E+000	
1.62454111E+004	2.97232876E+001	
1.62493936E+004	1.27637367E+001	
1.62533770E+004	4.15848112E+000	
1.62573604E+004	4.30366468E+000	
1.62613428E+004	4.33684969E+000	
1.62653262E+004	-1.26890707E+001	
1.62693096E+004	1.69823666E+001	
1.62732920E+004	1.27969217E+001	
1.62772754E+004	1.27761812E+001	
1.62812588E+004	8.46836853E+000	
1.62852412E+004	-4.13359213E+000	
1.62892246E+004	4.25025826E+001	
1.62932080E+004	2.55544357E+001	
1.62971904E+004	1.70404396E+001	
1.63011738E+004	1.27284784E+001	
