Acquired on 3/15/2018 at 20:11:37
Calibrated on 5/6/2016 at 10:33:04
Device Descriptor:  [none]
Scan Range (nm):  1540.255  --  1561.184
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100299
Frequency domain window was not applied to measurement data.
Gage length:  0.398307 cm
Sensor spacing:  0.398307 cm
Strain coefficients
	0.000000
	-6.668000
	0.000000
	0.000000
	0.000000
Number of Data Points (in this file):  100
NOTE: Data stored in this file is not decimated.

Length (mm)	Strain (microstrain)	
1.59432715E+004	-7.67400488E-002	
1.59472549E+004	-8.63844109E+000	
1.59512383E+004	-8.52229309E+000	
1.59552207E+004	4.17922163E+000	
1.59592041E+004	1.27409220E+001	
1.59631875E+004	4.21448040E+000	
1.59671699E+004	-2.55482140E+001	
1.59711533E+004	-7.46659935E-002	
1.59751367E+004	1.28218107E+001	
1.59791191E+004	1.86664984E-002	
1.59831025E+004	8.54925632E+000	
1.59870859E+004	-2.12901783E+001	
1.59910684E+004	-1.32739544E-001	
1.59950518E+004	4.74958688E-001	
1.59990352E+004	-1.86664984E-002	
1.60030176E+004	-9.74806026E-002	
1.60070010E+004	4.31196117E+000	
1.60109844E+004	4.28292465E+000	
1.60149668E+004	4.67056541E+001	
1.60189502E+004	3.39553986E+001	
1.60229336E+004	5.09398384E+001	
1.60269160E+004	5.09408760E+001	
1.60308994E+004	9.34424133E+001	
1.60348828E+004	4.67315788E+001	
1.60388652E+004	-1.69678459E+001	
1.60428486E+004	-1.69782181E+001	
1.60468320E+004	-1.69719963E+001	
1.60508145E+004	5.08465080E+001	
1.60547979E+004	5.51771317E+001	
1.60587813E+004	-8.56999683E+000	
1.60627637E+004	-5.94341316E+001	
1.60667471E+004	-1.57223770E+002	
1.60707305E+004	-1.40210297E+002	
1.60747129E+004	-1.70777721E+001	
1.60786963E+004	1.40104523E+002	
1.60826797E+004	1.52873444E+002	
1.60866621E+004	1.44362549E+002	
1.60906455E+004	1.48728439E+002	
1.60946289E+004	1.40170883E+002	
1.60986113E+004	1.57094131E+002	
1.61025947E+004	1.52909729E+002	
1.61065781E+004	1.31678665E+002	
1.61105605E+004	1.52997879E+002	
1.61145439E+004	2.16610199E+002	
1.61185273E+004	2.37814316E+002	
1.61225098E+004	3.05803894E+002	
1.61264932E+004	2.46349045E+002	
1.61304766E+004	1.91102432E+002	
1.61344590E+004	1.52894180E+002	
1.61384424E+004	9.76537857E+001	
1.61424258E+004	1.18937744E+002	
1.61464082E+004	1.48677628E+002	
1.61503916E+004	1.44313812E+002	
1.61543750E+004	1.44385361E+002	
1.61583574E+004	1.31697327E+002	
1.61623408E+004	6.79792404E+001	
1.61663242E+004	-5.94320602E+001	
1.61703066E+004	-1.23254883E+002	
1.61742900E+004	-1.57103470E+002	
1.61782734E+004	-1.52920105E+002	
1.61822559E+004	-1.52857880E+002	
1.61862393E+004	-1.27471436E+002	
1.61902227E+004	-4.25202103E+001	
1.61942051E+004	3.31848860E-002	
1.61981885E+004	1.27637367E+001	
1.62021719E+004	1.28114395E+001	
1.62061543E+004	2.11823273E+001	
1.62101377E+004	-2.48886645E-002	
1.62141211E+004	-2.69627213E-001	
1.62181035E+004	1.27865515E+001	
1.62220869E+004	4.14811075E-002	
1.62260703E+004	1.45183876E-001	
1.62300527E+004	-2.59256929E-001	
1.62340361E+004	-3.11108306E-002	
1.62380195E+004	2.97554359E+001	
1.62420020E+004	1.28529215E+001	
1.62459854E+004	2.28146091E-001	
1.62499688E+004	1.70010319E+001	
1.62539512E+004	1.41035765E-001	
1.62579346E+004	7.25919381E-002	
1.62619180E+004	3.67107809E-001	
1.62659004E+004	2.19849885E-001	
1.62698838E+004	8.56170082E+000	
1.62738672E+004	2.38516375E-001	
1.62778496E+004	4.37625706E-001	
1.62818330E+004	8.71932888E+000	
1.62858164E+004	-5.18513843E-002	
1.62897988E+004	-1.26517370E-001	
1.62937822E+004	-9.12584364E-002	
1.62977656E+004	3.46367240E-001	
1.63017480E+004	4.87403005E-001	
1.63057314E+004	-1.99109316E-001	
1.63097148E+004	8.71103287E+000	
1.63136973E+004	-1.57628208E-001	
1.63176807E+004	-1.72146603E-001	
1.63216641E+004	2.23997980E-001	
1.63256465E+004	6.84438273E-002	
1.63296299E+004	1.16147093E-001	
1.63336123E+004	3.31848860E-001	
1.63375957E+004	3.94070521E-002	
