Acquired on 3/15/2018 at 11:49:29
Calibrated on 5/6/2016 at 10:33:04
Device Descriptor:  [none]
Scan Range (nm):  1540.255  --  1561.184
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100299
Frequency domain window was not applied to measurement data.
Gage length:  0.398307 cm
Sensor spacing:  0.398307 cm
Strain coefficients
	0.000000
	-6.668000
	0.000000
	0.000000
	0.000000
Number of Data Points (in this file):  100
NOTE: Data stored in this file is not decimated.

Length (mm)	Strain (microstrain)	
1.61983027E+004	-4.20411015E+000	
1.62022861E+004	-4.22485065E+000	
1.62062695E+004	4.26425791E+000	
1.62102520E+004	8.48496056E+000	
1.62142354E+004	7.25919381E-002	
1.62182188E+004	4.18129587E+000	
1.62222012E+004	8.59281158E+000	
1.62261846E+004	-2.07405537E-002	
1.62301680E+004	8.44140530E+000	
1.62341504E+004	-1.27927732E+001	
1.62381338E+004	8.48288631E+000	
1.62421172E+004	-4.28914642E+000	
1.62460996E+004	4.25388765E+000	
1.62500830E+004	4.29951668E+000	
1.62540664E+004	2.96703987E+001	
1.62580488E+004	8.48496056E+000	
1.62620322E+004	2.11968460E+001	
1.62660156E+004	-8.56170082E+000	
1.62699980E+004	-8.42066479E+000	
1.62739814E+004	2.11906242E+001	
1.62779648E+004	1.26807747E+001	
1.62819473E+004	4.21655464E+000	
1.62859307E+004	-8.51192284E+000	
1.62899141E+004	1.70383663E+001	
1.62938965E+004	8.42688656E+000	
1.62978799E+004	8.42688656E+000	
1.63018633E+004	4.22277641E+000	
1.63058457E+004	2.97792854E+001	
1.63098291E+004	4.24735413E+001	
1.63138125E+004	8.47459030E+000	
1.63177949E+004	-8.54510784E+000	
1.63217783E+004	-2.97336559E+001	
1.63257617E+004	2.97689171E+001	
1.63297441E+004	9.35305634E+001	
1.63337275E+004	1.52971954E+002	
1.63377109E+004	7.22466049E+001	
1.63416934E+004	-2.12964001E+001	
1.63456768E+004	-8.06164627E+001	
1.63496602E+004	-1.06166748E+002	
1.63536426E+004	-6.36942406E+001	
1.63576260E+004	1.86875504E+002	
1.63616094E+004	3.86594604E+002	
1.63655918E+004	4.54427643E+002	
1.63695752E+004	4.79935364E+002	
1.63735586E+004	4.84248352E+002	
1.63775410E+004	4.84229736E+002	
1.63815244E+004	4.96969604E+002	
1.63855078E+004	5.09772705E+002	
1.63894902E+004	6.15856506E+002	
1.63934727E+004	7.39020203E+002	
1.63974570E+004	9.72703003E+002	
1.64014395E+004	1.27426953E+003	
1.64054219E+004	1.44838013E+003	
1.64094063E+004	1.17240540E+003	
1.64133887E+004	7.85807739E+002	
1.64173711E+004	6.54207886E+002	
1.64213555E+004	5.77674255E+002	
1.64253379E+004	5.60764404E+002	
1.64293203E+004	5.05506409E+002	
1.64333047E+004	4.75753052E+002	
1.64372871E+004	4.84236969E+002	
1.64412695E+004	4.24775879E+002	
1.64452539E+004	2.67715973E+002	
1.64492363E+004	-6.36589851E+001	
1.64532188E+004	-1.18982330E+002	
1.64572031E+004	-1.23155342E+002	
1.64611855E+004	-1.14647560E+002	
1.64651680E+004	-6.37274284E+001	
1.64691523E+004	-2.12549191E+001	
1.64731348E+004	3.39968796E+001	
1.64771172E+004	6.37357178E+001	
1.64811016E+004	5.09782066E+001	
1.64850840E+004	3.81646919E+001	
1.64890664E+004	2.12300301E+001	
1.64930508E+004	4.24071732E+001	
1.64970332E+004	2.12901783E+001	
1.65010156E+004	1.69740696E+001	
1.65050000E+004	2.97253609E+001	
1.65089824E+004	2.97616596E+001	
1.65129648E+004	2.55212517E+001	
1.65169492E+004	2.12279568E+001	
1.65209316E+004	2.54372520E+001	
1.65249141E+004	8.52851582E+000	
1.65288984E+004	1.70155506E+001	
1.65328809E+004	-8.54925632E+000	
1.65368633E+004	-4.26010990E+000	
1.65408477E+004	-5.18513843E-002	
1.65448301E+004	-3.94070521E-002	
1.65488125E+004	8.54718208E+000	
1.65527969E+004	4.18751764E+000	
1.65567793E+004	-1.28010693E+001	
1.65607617E+004	4.24351740E+000	
1.65647461E+004	8.58866310E+000	
1.65687285E+004	4.24973965E+000	
1.65727109E+004	1.26869974E+001	
1.65766953E+004	3.39636955E+001	
1.65806777E+004	-1.26517382E+001	
1.65846602E+004	-8.41236877E+000	
1.65886445E+004	-4.19996214E+000	
1.65926270E+004	4.31610918E+000	
