Acquired on 3/15/2018 at 11:50:24
Calibrated on 5/6/2016 at 10:33:04
Device Descriptor:  [none]
Scan Range (nm):  1540.255  --  1561.184
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100299
Frequency domain window was not applied to measurement data.
Gage length:  0.398307 cm
Sensor spacing:  0.398307 cm
Strain coefficients
	0.000000
	-6.668000
	0.000000
	0.000000
	0.000000
Number of Data Points (in this file):  100
NOTE: Data stored in this file is not decimated.

Length (mm)	Strain (microstrain)	
1.58521973E+004	-4.19374037E+000	
1.58561807E+004	8.42481327E+000	
1.58601631E+004	1.69595509E+001	
1.58641465E+004	-1.82516873E-001	
1.58681299E+004	1.27015152E+001	
1.58721123E+004	1.26973667E+001	
1.58760957E+004	9.33324918E-002	
1.58800791E+004	-1.03702769E-002	
1.58840615E+004	2.07405537E-002	
1.58880449E+004	8.47044182E+000	
1.58920283E+004	1.70528831E+001	
1.58960107E+004	-4.27255392E+000	
1.58999941E+004	2.97398796E+001	
1.59039775E+004	1.69802914E+001	
1.59079600E+004	8.49947929E+000	
1.59119434E+004	1.69305134E+001	
1.59159268E+004	8.52021980E+000	
1.59199092E+004	3.39668045E+001	
1.59238926E+004	1.69471054E+001	
1.59278760E+004	-3.52589414E-002	
1.59318584E+004	5.59994951E-002	
1.59358418E+004	-1.27575150E+001	
1.59398252E+004	1.27907000E+001	
1.59438076E+004	2.28146091E-002	
1.59477910E+004	-1.16147093E-001	
1.59517744E+004	-4.35551628E-002	
1.59557568E+004	4.22485065E+000	
1.59597402E+004	1.69865131E+001	
1.59637227E+004	3.81771355E+001	
1.59677061E+004	3.40124359E+001	
1.59716895E+004	3.82538795E+001	
1.59756719E+004	1.69636993E+001	
1.59796553E+004	5.51574249E+001	
1.59836387E+004	9.77471237E+001	
1.59876211E+004	1.69928391E+002	
1.59916045E+004	1.10468338E+002	
1.59955879E+004	-1.28425512E+001	
1.59995703E+004	-7.21937180E+001	
1.60035537E+004	-1.01958488E+002	
1.60075371E+004	-8.06351242E+001	
1.60115195E+004	1.23156372E+002	
1.60155029E+004	5.01234894E+002	
1.60194863E+004	5.90445190E+002	
1.60234688E+004	6.24440002E+002	
1.60274521E+004	6.32866882E+002	
1.60314355E+004	6.28653442E+002	
1.60354180E+004	6.49945740E+002	
1.60394014E+004	6.88219299E+002	
1.60433848E+004	7.56065796E+002	
1.60473672E+004	8.11300964E+002	
1.60513506E+004	8.57962036E+002	
1.60553340E+004	8.83552734E+002	
1.60593164E+004	9.25996277E+002	
1.60632998E+004	8.96318604E+002	
1.60672832E+004	8.32452209E+002	
1.60712656E+004	8.32534180E+002	
1.60752490E+004	7.26381897E+002	
1.60792324E+004	7.26330078E+002	
1.60832148E+004	6.71178833E+002	
1.60871982E+004	6.49910461E+002	
1.60911816E+004	6.15892822E+002	
1.60951641E+004	5.86096924E+002	
1.60991475E+004	4.80011108E+002	
1.61031309E+004	2.33629898E+002	
1.61071133E+004	-1.48668289E+002	
1.61110967E+004	-2.12410233E+002	
1.61150801E+004	-1.61432022E+002	
1.61190625E+004	-1.14730522E+002	
1.61230459E+004	-5.94445038E+001	
1.61270293E+004	-4.22485065E+000	
1.61310117E+004	8.92258606E+001	
1.61349951E+004	1.18973000E+002	
1.61389785E+004	6.79906464E+001	
1.61429609E+004	5.10010223E+001	
1.61469443E+004	4.67004700E+001	
1.61509277E+004	5.51854324E+001	
1.61549102E+004	4.66569138E+001	
1.61588936E+004	2.11864758E+001	
1.61628770E+004	2.54974003E+001	
1.61668594E+004	4.29329491E+000	
1.61708428E+004	2.98228436E+001	
1.61748262E+004	8.49118328E+000	
1.61788086E+004	4.24206543E+001	
1.61827920E+004	3.39066582E+001	
1.61867754E+004	8.50570107E+000	
1.61907578E+004	7.88141042E-002	
1.61947412E+004	-8.39992428E+000	
1.61987246E+004	-4.34514618E+000	
1.62027070E+004	-1.26849232E+001	
1.62066904E+004	4.32233143E+000	
1.62106738E+004	8.51607132E+000	
1.62146563E+004	8.49947929E+000	
1.62186396E+004	-8.52229309E+000	
1.62226230E+004	4.21655464E+000	
1.62266055E+004	4.24144316E+000	
1.62305889E+004	3.94070521E-002	
1.62345723E+004	4.26633215E+000	
1.62385547E+004	-5.59994951E-002	
1.62425381E+004	-1.28114395E+001	
1.62465215E+004	-1.28093662E+001	
